Gourmet Thai Chicken Pizza,thai-chicken-pizza,http://allrecipes.com/recipe/gourmet-thai-chicken-pizza/,AllRecipies.com,"Chicken, Tahini, carrots, green onion, moz",120,90min fast dough,pizza
Cold Sesame Noodles With Crunchy Vegetables,noodles-vegtables,http://www.nytimes.com/recipes/1015003/Cold-Sesame-Noodles-With-Crunchy-Vegetables.html,NyTimes.com,"Noodles, Frozen Veggies",10,,sub30
Grilled Sausages and Radicchio,sausage-radiccihio,http://www.nytimes.com/recipes/1014864/Grilled-Sausages-and-Radicchio.html,Nytimes.com,"Sausage, Radicchio",30,,"sub30, blown, meaty"
shaved asparagus pizza,asparagus-pizza,http://smittenkitchen.com/blog/2010/05/shaved-asparagus-pizza/,smittenKitchen.com,"Asparahus, moz",120,90min fast dough,pizza
"Carrot, chickpea soup",carrot-chickpea-soup,http://yeah.shapemeup.se/2013/01/16/sometimes-the-easiest-things-are-the-best/,nytimes.com,"carrots, chickpeas",30,,sub30
Pork-Fennel Burger,pork-fennel-burger,http://www.nytimes.com/2010/05/26/dining/26minirex1.html,,"Pork, Buns, Fennel",30,,sub30
sloppy joes with avocados,sloppy-joes-avocados,http://damndelicious.net/post/33414006678/sloppy-joes-with-avocado-and-fried-egg,damdelicous.net,"meat, buns, avocado, egg",30,,"sub30, meaty"
ceasar salad,ceasar-salad,http://www.nytimes.com/recipes/12457/Grilled-Caesar-Salad.html,nytimes.com,"salad, scallops/steak, bread",15,,sub30
southeast asian mussels,thai-mussels,http://www.nytimes.com/2009/05/27/dining/271mrex.html?ref=dining,NyTimes.com,"coconut milk, mussels, lime,veggies",30,,sub30
Frittatta,fritatta,http://www.nytimes.com/2009/07/15/dining/151mrex.html?ref=dining,nytimes.com,"eggs, veggies",20,,sub30
Brussels with figs and bacon,brussel-fig-bacon,http://www.nytimes.com/2009/10/28/dining/281mrex.html?ref=dining,nytimes.com,"brussels, bacon, figs",30,,sub30
Kebabs,kebabs,http://www.nytimes.com/interactive/2012/07/08/magazine/kebab-generator.html?ref=markbittman,nyimes.com,"BBQ, kebabs",30,,Sub30
Squash Galette,squash-galette,http://smittenkitchen.com/blog/2007/10/butternut-squash-and-caramelized-onion-galette/,smittenKitchen.com,"squash, onions, cheese, ",60,,blown
greek salad,greek-salad,http://smittenkitchen.com/blog/2013/05/greek-salad-with-lemon-and-oregano/,smittenKitchen.com,"veggies, lemon, feta",30,,sub30
Chicken Skordia,chicken-skord,http://dinersjournal.blogs.nytimes.com/2011/07/15/the-minimalist-chicken-salad-with-skordalia/,nytimes.com,"salad, roasted chicken, oil",10,,"sub30, blown"
Triple Threat Seasme,seasme-scallops,http://dinersjournal.blogs.nytimes.com/2008/07/15/recipe-of-the-day-triple-sesame-salad-with-scallops/,nytimes.com,"scallops, salad, tahini",20,,sub30
Chicken Pot Pie,chicken-pot-pie,http://www.nytimes.com/2010/03/10/dining/10minirex.html?ref=dining,nytimes.com,"leek, chicken, carrots, mushrooms",60,oven for 45,
Fried Chickpeas With Chorizo and Spinach,chickpea-chorizo-spinach,http://www.nytimes.com/2010/02/24/dining/24minirex.html?ref=dining,nytimes.com,"chroizo, spinach, chickpeas",30,,sub30
Chicken and Bok Choy Stir Fry,ease-of-stir-fry,http://dinersjournal.blogs.nytimes.com/2013/04/22/the-ease-of-stir-fry/?ref=melissaclark,nytimes.com,"chicken, bok choy veffies",30,,sub30
Avocado Chicken Sandwiches,southest-chicken-sandwhich,http://www.skinnytaste.com/2011/07/grilled-chicken-sandwich-with-avocado.html,skinnytaste,"chicken, bread, avos",15,,sub30
KD!,KD,http://www.grouprecipes.com/31996/absolutely-not-gourmet-smoked-salmon-mac.html,justin,KD smoked salmon lobster,,,sub30
"Pear, Arugula, and Pancetta Salad",pear-argula-salad,http://www.epicurious.com/recipes/food/views/Pear-Arugula-and-Pancetta-Salad-235734,epicurious.com,"pears, argula, bacon",15,,sub30
Pad Thai,pad-thai,http://www.nytimes.com/2010/04/22/dining/21minirex.html?ref=dining,nytimes,"cabbage, bean sprouts, noodles, chicken/shrimp,cilantro, limes",30,,sub30
potato bacon hash,potat-bacon-hash,http://smittenkitchen.com/blog/2012/07/bacon-corn-hash/,smitten,"potatos, bacon, corn",35,,blown
Smoked Turkey Sandys,smoked-turkey-sand,http://www.bostonglobe.com/magazine/2013/05/18/turkey-cheddar-cranberry-sandwich-flour/I7J8hHcOZxLba56BNxFbkI/story.html,Flour,"Bread, Turkey, Chutney, greens",15,,sub30
Pasta with Leeks and Parsley,leek-pasta,http://markbittman.com/dinner-with-bittman-pasta-with-leeks-and-pars/,NyTimes.com,"Pasta, Leeks, Bacon, Parsley, Egg",20,,"sub30, blown"
